-4.2824e-13,-4.5563e-13,-3.4135e-13,-1.6101e-13,-5.9757e-14,-1.1799e-13,-2.767e-13,-3.909e-13,-3.5532e-13,-1.8244e-13,3.1743e-14,2.0591e-13,3.3153e-13,4.4002e-13,5.2934e-13,5.4201e-13,4.2604e-13,2.1425e-13,2.8427e-14,-1.278e-14,9.8691e-14,2.4381e-13,2.7619e-13
-3.447e-14,-3.2332e-13,-1.2845e-13,5.0246e-13,1.2215e-12,1.5642e-12,1.2459e-12,3.5652e-13,-6.9312e-13,-1.4343e-12,-1.6174e-12,-1.3082e-12,-7.6495e-13,-2.2432e-13,2.2352e-13,5.9807e-13,9.0544e-13,1.0692e-12,9.8503e-13,6.4174e-13,1.8503e-13,-1.4651e-13,-1.6932e-13
-1.0441e-13,-1.7075e-13,-2.1837e-13,-1.7899e-13,-4.6235e-14,1.0308e-13,1.5159e-13,2.1808e-14,-2.6261e-13,-5.8027e-13,-7.814e-13,-7.7796e-13,-5.9452e-13,-3.4694e-13,-1.6564e-13,-1.1688e-13,-1.7392e-13,-2.527e-13,-2.8097e-13,-2.4946e-13,-2.1119e-13,-2.3463e-13,-3.4871e-13
2.4824e-13,1.0692e-13,3.2075e-13,1.1204e-12,2.3379e-12,3.3754e-12,3.5325e-12,2.4884e-12,5.7205e-13,-1.4022e-12,-2.6255e-12,-2.7556e-12,-2.028e-12,-9.8901e-13,-1.0226e-13,4.6657e-13,7.8472e-13,9.5071e-13,9.7714e-13,8.4313e-13,6.1103e-13,4.464e-13,4.9952e-13
1.4735e-12,1.6532e-12,1.8986e-12,2.0796e-12,2.0696e-12,1.8641e-12,1.6146e-12,1.54e-12,1.7742e-12,2.2599e-12,2.7661e-12,3.0148e-12,2.833e-12,2.2363e-12,1.4103e-12,6.2145e-13,1.1322e-13,2.8247e-14,3.653e-13,9.747e-13,1.6028e-12,1.9905e-12,1.9957e-12
4.5332e-14,1.6672e-13,4.9719e-13,8.3783e-13,9.4067e-13,7.1736e-13,3.3681e-13,1.209e-13,3.13e-13,8.9882e-13,1.6155e-12,2.1329e-12,2.2614e-12,2.0374e-12,1.6494e-12,1.2916e-12,1.0633e-12,9.642e-13,9.4654e-13,9.5543e-13,9.3488e-13,8.2987e-13,6.1735e-13
-1.6732e-14,1.1171e-13,4.1139e-13,7.2572e-13,8.6424e-13,7.4107e-13,4.4114e-13,1.6242e-13,8.2742e-14,2.5329e-13,5.8867e-13,9.4151e-13,1.1927e-12,1.296e-12,1.2685e-12,1.1576e-12,1.0165e-12,8.9105e-13,8.0716e-13,7.5747e-13,7.0328e-13,6.0352e-13,4.5544e-13
4.9764e-14,4.6535e-14,1.9589e-13,5.1771e-13,8.9604e-13,1.1255e-12,1.0384e-12,6.2516e-13,6.0113e-14,-3.9285e-13,-5.3349e-13,-3.3672e-13,4.843e-14,4.0465e-13,5.7966e-13,5.5798e-13,4.3335e-13,3.1677e-13,2.5596e-13,2.2217e-13,1.6134e-13,5.6501e-14,-5.277e-14
1.5454e-13,2.2234e-13,3.2617e-13,5.4643e-13,8.5555e-13,1.0988e-12,1.0863e-12,7.3146e-13,1.3012e-13,-4.8382e-13,-8.7461e-13,-9.3449e-13,-7.2109e-13,-3.9168e-13,-9.6321e-14,9.2046e-14,1.7693e-13,1.924e-13,1.6194e-13,9.0964e-14,-1.6086e-14,-1.4197e-13,-2.6176e-13
-2.3331e-13,-1.2095e-13,1.1123e-14,2.4541e-13,5.9738e-13,9.3684e-13,1.0315e-12,7.0672e-13,2.3797e-15,-8.0847e-13,-1.3748e-12,-1.4874e-12,-1.1969e-12,-7.4453e-13,-3.7096e-13,-1.6166e-13,-4.4064e-14,8.681e-14,2.4298e-13,3.3161e-13,2.5486e-13,1.6331e-14,-2.6988e-13
